Offset-Description                                                                   
0000 - Pointer           3579FE50 : P->00FAE99C        35A2AD90 : P->00FAE99C        
0330 - Double            357A0180 : 0.0045708127674301535A2B0C0 : 138211488.80898    
0338 - 4 Bytes           357A0188 : 0                  35A2B0C8 : 1101038594         
033C - 4 Bytes           357A018C : 0                  35A2B0CC : 1101030051         
0340 - 4 Bytes           357A0190 : 0                  35A2B0D0 : 1096168442         
0344 - 4 Bytes           357A0194 : 0                  35A2B0D4 : 1094468697         
0348 - Double            357A0198 : 0.0078125          35A2B0D8 : 1822879.25482728   
0350 - Float             357A01A0 : 1                  35A2B0E0 : 2.684859276        
0354 - Float             357A01A4 : 1                  35A2B0E4 : 3.560388803        
0358 - Float             357A01A8 : 1                  35A2B0E8 : 3.558870554        
035C - 4 Bytes           357A01AC : 0                  35A2B0EC : 1080280751         
0360 - Float             357A01B0 : -0.09128300101     35A2B0F0 : 19.99209785        
0364 - Float             357A01B4 : 0.009014000185     35A2B0F4 : 18.24525452        
0368 - Float             357A01B8 : -0.01531200018     35A2B0F8 : 18.24274635        
036C - Double            357A01BC : -0.000023628424969535A2B0FC : 6560505.02590316   
0374 - Float             357A01C4 : 0.4932079911       35A2B104 : 11.80130005        
0378 - Float             357A01C8 : -0.5063970089      35A2B108 : 11.78838158        
037C - Float             357A01CC : 0.5140219927       35A2B10C : 12.96796608        
0380 - Float             357A01D0 : 1                  35A2B110 : 2.412533045        
0384 - Float             357A01D4 : 1                  35A2B114 : 1.696295857        
0388 - Float             357A01D8 : 1                  35A2B118 : 1.690563917        
038C - 4 Bytes           357A01DC : 0                  35A2B11C : 1078956775         
0390 - Float             357A01E0 : 0.09128300101      35A2B120 : 21.08034897        
0394 - Float             357A01E4 : 0.009014000185     35A2B124 : 21.16350746        
0398 - Float             357A01E8 : -0.01531200018     35A2B128 : 18.76252365        
039C - Double            357A01EC : -0.000033640622859835A2B12C : 4149826.51261308   
03A4 - Float             357A01F4 : 0.5140219927       35A2B134 : 13.06983662        
03A8 - Float             357A01F8 : -0.4858910143      35A2B138 : 11.04131222        
03AC - Float             357A01FC : 0.4932079911       35A2B13C : 8.997621536        
03B0 - Float             357A0200 : 1                  35A2B140 : 3.225568771        
03B4 - Float             357A0204 : 1                  35A2B144 : 3.08552146         
03B8 - Float             357A0208 : 1                  35A2B148 : 0.7042525411       
03BC - 4 Bytes           357A020C : 0                  35A2B14C : 1075821909         
03C0 - 4 Bytes           357A0210 : 0                  35A2B150 : 1100842268         
03C4 - Float             357A0214 : 0.1535439938       35A2B154 : 19.69980049        
03C8 - Float             357A0218 : -0.00530700013     35A2B158 : 19.05887985        
03CC - Double            357A021C : -0.000029298826120735A2B15C : 258420.032081354   
03D4 - Float             357A0224 : -0.5024840236      35A2B164 : 8.975467682        
03D8 - Float             357A0228 : 0.4975039959       35A2B168 : 11.34218597        
03DC - Float             357A022C : 0.5024840236       35A2B16C : 12.77690792        
03E0 - Float             357A0230 : 1                  35A2B170 : 2.517596245        
03E4 - Float             357A0234 : 1                  35A2B174 : 2.513325691        
03E8 - Float             357A0238 : 1                  35A2B178 : 0.4715571404       
03EC - Double            357A023C : 0.0000128845204017135A2B17C : 335552064.050755   
03F4 - 4 Bytes (Hex)     357A0244 : 80000000           35A2B184 : 41B4F32B           
03F8 - 4 Bytes           357A0248 : 0                  35A2B188 : 1101954278         
03FC - Double            357A024C : 0.0077910609543323535A2B18C : 3721972.5128546    
0404 - Float             357A0254 : -0.01609900035     35A2B194 : 12.96613503        
0408 - Float             357A0258 : -0.00002400000085  35A2B198 : 10.612463          
040C - Float             357A025C : -0.02065999992     35A2B19C : 10.6337738         
0410 - Float             357A0260 : 1                  35A2B1A0 : 2.190847158        
0414 - Float             357A0264 : 1                  35A2B1A4 : 1.943590403        
0418 - Float             357A0268 : 1                  35A2B1A8 : 1.95954752         
041C - Double            357A026C : 0.0000128845204017135A2B1AC : 258114463.716306   
0424 - 4 Bytes           357A0274 : 0                  35A2B1B4 : 1101403824         
0428 - 4 Bytes           357A0278 : 0                  35A2B1B8 : 1102040982         
042C - Double            357A027C : 0.0077864378690719635A2B1BC : 862323.128421189   
0434 - Float             357A0284 : -0.0185649991      35A2B1C4 : 10.78794861        
0438 - Float             357A0288 : -0.002621999942    35A2B1C8 : 10.88817024        
043C - Float             357A028C : 0.02198700048      35A2B1CC : 16.83940506        
0440 - Float             357A0290 : 1                  35A2B1D0 : 1.945694327        
0444 - Float             357A0294 : 1                  35A2B1D4 : 0.8150692582       
0448 - Float             357A0298 : 1                  35A2B1D8 : 1.724671245        
044C - 4 Bytes           357A029C : 0                  35A2B1DC : 3224091717         
0450 - Float             357A02A0 : 0.1255709976       35A2B1E0 : 24.11400414        
0454 - 4 Bytes           357A02A4 : 0                  35A2B1E4 : 1103177350         
0458 - 4 Bytes (Hex)     357A02A8 : 80000000           35A2B1E8 : 41C0D47E           
045C - Double            357A02AC : 0.0000545717775821635A2B1EC : 48463912.2207223   
0464 - Float             357A02B4 : 0.4453200102       35A2B1F4 : 16.87813187        
0468 - Float             357A02B8 : -0.5492630005      35A2B1F8 : 16.87675285        
046C - Float             357A02BC : 0.4453200102       35A2B1FC : 16.67237473        
